,average_episode_rewards,algo,step,scenario
3,-0.7059999741613865,BPPO,1600000.0,5_vs_5
4,-0.6200000178068876,BPPO,2000000.0,5_vs_5
5,-0.14400000218302011,BPPO,2400000.0,5_vs_5
6,-0.3079999936744571,BPPO,2800000.0,5_vs_5
7,-0.6920000538229942,BPPO,3200000.0,5_vs_5
8,-0.38599998224526644,BPPO,3600000.0,5_vs_5
9,-0.3740000072866678,BPPO,4000000.0,5_vs_5
10,-0.41000000201165676,BPPO,4400000.0,5_vs_5
11,-0.5420000292360783,BPPO,4800000.0,5_vs_5
12,-0.3279999829828739,BPPO,5200000.0,5_vs_5
13,-0.532000046223402,BPPO,5600000.0,5_vs_5
14,-0.5040000192821026,BPPO,6000000.0,5_vs_5
15,-0.26199999265372753,BPPO,6400000.0,5_vs_5
16,-0.6680000107735395,BPPO,6800000.0,5_vs_5
17,-0.4679999779909849,BPPO,7200000.0,5_vs_5
18,-0.7559999823570251,BPPO,7600000.0,5_vs_5
19,-0.5499999970197678,BPPO,8000000.0,5_vs_5
20,-0.7040000054985285,BPPO,8400000.0,5_vs_5
21,-0.6839999929070473,BPPO,8800000.0,5_vs_5
22,-0.14399999054148793,BPPO,9200000.0,5_vs_5
23,-0.8619999513030052,BPPO,9600000.0,5_vs_5
24,-0.9200000204145908,BPPO,10000000.0,5_vs_5
25,-0.4600000102072954,BPPO,10400000.0,5_vs_5
26,-0.4519999958574772,BPPO,10800000.0,5_vs_5
27,-0.44800001196563244,BPPO,11200000.0,5_vs_5
28,-0.4999999888241291,BPPO,11600000.0,5_vs_5
29,-0.14799999771639705,BPPO,12000000.0,5_vs_5
30,-0.5619999952614307,BPPO,12400000.0,5_vs_5
31,-0.39599998854100704,BPPO,12800000.0,5_vs_5
32,-0.6300000008195639,BPPO,13200000.0,5_vs_5
33,-0.4840000066906214,BPPO,13600000.0,5_vs_5
34,-0.18400001572445035,BPPO,14000000.0,5_vs_5
35,-0.39400001987814903,BPPO,14400000.0,5_vs_5
36,-0.27600000612437725,BPPO,14800000.0,5_vs_5
37,-0.4339999984949827,BPPO,15200000.0,5_vs_5
38,-0.3879999974742532,BPPO,15600000.0,5_vs_5
39,-0.4000000189989805,BPPO,16000000.0,5_vs_5
40,-0.3920000046491623,BPPO,16400000.0,5_vs_5
41,-0.41000000201165676,BPPO,16800000.0,5_vs_5
42,-0.5039999727159739,BPPO,17200000.0,5_vs_5
43,-0.107999995816499,BPPO,17600000.0,5_vs_5
44,-0.6920000538229942,BPPO,18000000.0,5_vs_5
45,-0.556000042706728,BPPO,18400000.0,5_vs_5
46,-0.5780000239610672,BPPO,18800000.0,5_vs_5
47,-0.3659999929368496,BPPO,19200000.0,5_vs_5
48,-0.8799999952316284,BPPO,19600000.0,5_vs_5
49,-0.4000000189989805,BPPO,20000000.0,5_vs_5
0,-0.7140000350773335,MAPPO,400000.0,5_vs_5
1,-0.7780000101774931,MAPPO,800000.0,5_vs_5
2,-0.6259999703615904,MAPPO,1200000.0,5_vs_5
3,-0.7799999788403511,MAPPO,1600000.0,5_vs_5
4,-0.800000037997961,MAPPO,2000000.0,5_vs_5
5,-0.8619999513030052,MAPPO,2400000.0,5_vs_5
6,-0.46200002543628216,MAPPO,2800000.0,5_vs_5
7,-0.6359999999403954,MAPPO,3200000.0,5_vs_5
8,-0.4720000084489584,MAPPO,3600000.0,5_vs_5
9,-0.8700000122189522,MAPPO,4000000.0,5_vs_5
10,-1.1739999055862427,MAPPO,4400000.0,5_vs_5
11,-1.0339999571442604,MAPPO,4800000.0,5_vs_5
12,-0.5559999961405993,MAPPO,5200000.0,5_vs_5
13,-0.7180000189691782,MAPPO,5600000.0,5_vs_5
14,-0.5499999970197678,MAPPO,6000000.0,5_vs_5
15,-1.0280000045895576,MAPPO,6400000.0,5_vs_5
16,-0.7199999876320362,MAPPO,6800000.0,5_vs_5
17,-1.261999923735857,MAPPO,7200000.0,5_vs_5
18,-0.800000037997961,MAPPO,7600000.0,5_vs_5
19,-1.0280000045895576,MAPPO,8000000.0,5_vs_5
20,-0.7980000227689743,MAPPO,8400000.0,5_vs_5
21,-0.6320000160485506,MAPPO,8800000.0,5_vs_5
22,-0.8620000444352627,MAPPO,9200000.0,5_vs_5
23,-0.94200000166893,MAPPO,9600000.0,5_vs_5
24,-0.6980000529438257,MAPPO,10000000.0,5_vs_5
25,-0.8580000139772892,MAPPO,10400000.0,5_vs_5
26,-0.953999999910593,MAPPO,10800000.0,5_vs_5
27,-0.47400002367794514,MAPPO,11200000.0,5_vs_5
28,-0.4800000227987766,MAPPO,11600000.0,5_vs_5
29,-0.6200000178068876,MAPPO,12000000.0,5_vs_5
30,-0.8600000292062759,MAPPO,12400000.0,5_vs_5
31,-0.7019999902695417,MAPPO,12800000.0,5_vs_5
32,-0.5540000274777412,MAPPO,13200000.0,5_vs_5
33,-1.3419999741017818,MAPPO,13600000.0,5_vs_5
34,-1.107999961823225,MAPPO,14000000.0,5_vs_5
35,-0.7799999788403511,MAPPO,14400000.0,5_vs_5
36,-1.0379999876022339,MAPPO,14800000.0,5_vs_5
37,-0.7000000216066837,MAPPO,15200000.0,5_vs_5
38,-1.1880000121891499,MAPPO,15600000.0,5_vs_5
39,-1.0359999723732471,MAPPO,16000000.0,5_vs_5
40,-0.7800000719726086,MAPPO,16400000.0,5_vs_5
41,-0.37200001534074545,MAPPO,16800000.0,5_vs_5
42,-0.9560000151395798,MAPPO,17200000.0,5_vs_5
43,-0.5179999861866236,MAPPO,17600000.0,5_vs_5
44,-0.71000000461936,MAPPO,18000000.0,5_vs_5
45,-0.6899999920278788,MAPPO,18400000.0,5_vs_5
46,-0.8700000122189522,MAPPO,18800000.0,5_vs_5
47,-0.8759999647736549,MAPPO,19200000.0,5_vs_5
48,-0.7759999949485064,MAPPO,19600000.0,5_vs_5
49,-0.7759999949485064,MAPPO,20000000.0,5_vs_5
0,-0.7019999902695417,ARMAPPO,400000.0,5_vs_5
1,-0.9440000168979168,ARMAPPO,800000.0,5_vs_5
2,-0.8740000426769257,ARMAPPO,1200000.0,5_vs_5
3,-0.3079999936744571,ARMAPPO,1600000.0,5_vs_5
4,-0.44800001196563244,ARMAPPO,2000000.0,5_vs_5
5,-0.8619999513030052,ARMAPPO,2400000.0,5_vs_5
6,-0.3179999999701977,ARMAPPO,2800000.0,5_vs_5
7,-0.9519999846816063,ARMAPPO,3200000.0,5_vs_5
8,-1.0340000502765179,ARMAPPO,3600000.0,5_vs_5
9,-0.7160000037401915,ARMAPPO,4000000.0,5_vs_5
10,-0.39400001987814903,ARMAPPO,4400000.0,5_vs_5
11,-0.6880000233650208,ARMAPPO,4800000.0,5_vs_5
12,-0.708000035956502,ARMAPPO,5200000.0,5_vs_5
13,-0.6060000043362379,ARMAPPO,5600000.0,5_vs_5
14,-0.47199996188282967,ARMAPPO,6000000.0,5_vs_5
15,-0.8760000579059124,ARMAPPO,6400000.0,5_vs_5
16,-0.6099999882280827,ARMAPPO,6800000.0,5_vs_5
17,-0.7960000075399876,ARMAPPO,7200000.0,5_vs_5
18,-0.7899999618530273,ARMAPPO,7600000.0,5_vs_5
19,-0.5459999665617943,ARMAPPO,8000000.0,5_vs_5
20,-0.3079999936744571,ARMAPPO,8400000.0,5_vs_5
21,-0.3060000017285347,ARMAPPO,8800000.0,5_vs_5
22,-0.713999941945076,ARMAPPO,9200000.0,5_vs_5
23,-0.8780000731348991,ARMAPPO,9600000.0,5_vs_5
24,-0.5380000453442335,ARMAPPO,10000000.0,5_vs_5
25,-0.6279999855905771,ARMAPPO,10400000.0,5_vs_5
26,-1.0220000520348549,ARMAPPO,10800000.0,5_vs_5
27,-0.8540000766515732,ARMAPPO,11200000.0,5_vs_5
28,-0.7019999902695417,ARMAPPO,11600000.0,5_vs_5
29,-0.5379999987781048,ARMAPPO,12000000.0,5_vs_5
30,-0.7860000245273113,ARMAPPO,12400000.0,5_vs_5
31,-0.20600000862032175,ARMAPPO,12800000.0,5_vs_5
32,-0.47400002367794514,ARMAPPO,13200000.0,5_vs_5
33,-0.546000013127923,ARMAPPO,13600000.0,5_vs_5
34,-0.6060000043362379,ARMAPPO,14000000.0,5_vs_5
35,-0.7840000092983246,ARMAPPO,14400000.0,5_vs_5
36,-1.1140000075101852,ARMAPPO,14800000.0,5_vs_5
37,-0.9340000338852406,ARMAPPO,15200000.0,5_vs_5
38,-1.182000059634447,ARMAPPO,15600000.0,5_vs_5
39,-0.6359999999403954,ARMAPPO,16000000.0,5_vs_5
40,-0.6839999929070473,ARMAPPO,16400000.0,5_vs_5
41,-0.6280000321567059,ARMAPPO,16800000.0,5_vs_5
42,-0.2400000113993883,ARMAPPO,17200000.0,5_vs_5
43,-0.8620000444352627,ARMAPPO,17600000.0,5_vs_5
44,-0.39400001987814903,ARMAPPO,18000000.0,5_vs_5
45,-0.5360000301152468,ARMAPPO,18400000.0,5_vs_5
46,-0.71000000461936,ARMAPPO,18800000.0,5_vs_5
47,-0.4679999779909849,ARMAPPO,19200000.0,5_vs_5
48,-0.800000037997961,ARMAPPO,19600000.0,5_vs_5
49,-0.6320000160485506,ARMAPPO,20000000.0,5_vs_5
0,-0.9560000151395798,ARMAPPO,400000.0,5_vs_5
1,-0.9459999389946461,ARMAPPO,800000.0,5_vs_5
2,-0.7160000037401915,ARMAPPO,1200000.0,5_vs_5
3,-0.6200000178068876,ARMAPPO,1600000.0,5_vs_5
4,-0.6880000233650208,ARMAPPO,2000000.0,5_vs_5
5,-0.6859999615699053,ARMAPPO,2400000.0,5_vs_5
6,-0.547999981790781,ARMAPPO,2800000.0,5_vs_5
7,-0.6899999920278788,ARMAPPO,3200000.0,5_vs_5
8,-0.71000000461936,ARMAPPO,3600000.0,5_vs_5
9,-0.47599999234080315,ARMAPPO,4000000.0,5_vs_5
10,-0.8700000122189522,ARMAPPO,4400000.0,5_vs_5
11,-0.7960000075399876,ARMAPPO,4800000.0,5_vs_5
12,-0.8499999530613422,ARMAPPO,5200000.0,5_vs_5
13,-0.6959999911487103,ARMAPPO,5600000.0,5_vs_5
14,-0.5420000292360783,ARMAPPO,6000000.0,5_vs_5
15,-0.46399999409914017,ARMAPPO,6400000.0,5_vs_5
16,-0.7879999466240406,ARMAPPO,6800000.0,5_vs_5
17,-1.266000047326088,ARMAPPO,7200000.0,5_vs_5
18,-0.46999999321997166,ARMAPPO,7600000.0,5_vs_5
19,-0.8559999987483025,ARMAPPO,8000000.0,5_vs_5
20,-0.7140000350773335,ARMAPPO,8400000.0,5_vs_5
21,-0.7899999618530273,ARMAPPO,8800000.0,5_vs_5
22,-0.839999970048666,ARMAPPO,9200000.0,5_vs_5
23,-0.37200001534074545,ARMAPPO,9600000.0,5_vs_5
24,-0.4780000075697899,ARMAPPO,10000000.0,5_vs_5
25,-0.47400002367794514,ARMAPPO,10400000.0,5_vs_5
26,-0.46399999409914017,ARMAPPO,10800000.0,5_vs_5
27,-0.94200000166893,ARMAPPO,11200000.0,5_vs_5
28,-0.3779999911785126,ARMAPPO,11600000.0,5_vs_5
29,-0.94200000166893,ARMAPPO,12000000.0,5_vs_5
30,-0.47400002367794514,ARMAPPO,12400000.0,5_vs_5
31,-0.9279999881982803,ARMAPPO,12800000.0,5_vs_5
32,-0.9379999712109566,ARMAPPO,13200000.0,5_vs_5
33,-0.7899999618530273,ARMAPPO,13600000.0,5_vs_5
34,-1.0220000520348549,ARMAPPO,14000000.0,5_vs_5
35,-0.7819999940693378,ARMAPPO,14400000.0,5_vs_5
36,-0.7880000397562981,ARMAPPO,14800000.0,5_vs_5
37,-0.4519999958574772,ARMAPPO,15200000.0,5_vs_5
38,-1.1919999495148659,ARMAPPO,15600000.0,5_vs_5
39,-0.38599998224526644,ARMAPPO,16000000.0,5_vs_5
40,-0.7059999741613865,ARMAPPO,16400000.0,5_vs_5
41,-0.7180000189691782,ARMAPPO,16800000.0,5_vs_5
42,-0.6200000178068876,ARMAPPO,17200000.0,5_vs_5
43,-0.8640000596642494,ARMAPPO,17600000.0,5_vs_5
44,-0.3040000097826123,ARMAPPO,18000000.0,5_vs_5
45,-0.7939999923110008,ARMAPPO,18400000.0,5_vs_5
46,-0.8460000157356262,ARMAPPO,18800000.0,5_vs_5
47,-0.3160000080242753,ARMAPPO,19200000.0,5_vs_5
48,-0.706000067293644,ARMAPPO,19600000.0,5_vs_5
49,-0.9379999712109566,ARMAPPO,20000000.0,5_vs_5
0,-0.5260000005364418,ARMAPPO,400000.0,5_vs_5
1,-0.7880000397562981,ARMAPPO,800000.0,5_vs_5
2,-1.428000070154667,ARMAPPO,1200000.0,5_vs_5
